speciesId	species	n_bulk_libraries	n_sc_libraries	n_total_libraries
7227	drosophila_melanogaster	2059	30432	32491
9606	homo_sapiens	7954	13216	21170
10090	mus_musculus	5365	9120	14485
30608	microcebus_murinus	27	11809	11836
9823	sus_scrofa	6243	174	6417
9913	bos_taurus	4172	104	4276
9940	ovis_aries	4081	0	4081
9031	gallus_gallus	969	1306	2275
9544	macaca_mulatta	1738	31	1769
10116	rattus_norvegicus	1440	127	1567
9541	macaca_fascicularis	474	898	1372
13616	monodelphis_domestica	411	843	1254
9796	equus_caballus	1171	16	1187
9925	capra_hircus	1164	0	1164
8030	salmo_salar	1162	0	1162
9545	macaca_nemestrina	27	1119	1146
9555	papio_anubis	1028	6	1034
105023	nothobranchius_furzeri	1027	0	1027
10141	cavia_porcellus	352	549	901
307658	monomorium_pharaonis	867	0	867
59729	taeniopygia_guttata	849	0	849
9986	oryctolagus_cuniculus	721	111	832
69293	Three-spined sticklebacki	759	0	759
9612	canis_lupus_familiaris	689	11	700
9103	meleagris_gallopavo	624	0	624
60711	chlorocebus_sabaeus	556	0	556
103372	acromyrmex_echinatior	526	0	526
8090	oryzias_latipes	485	0	485
9598	pan_troglodytes	466	3	469
7165	anopheles_gambiae	385	0	385
10096	mus_spretus	377	0	377
10181	Naked_mole-rat	322	19	341
9739	tursiops_truncatus	341	0	341
6239	caenorhabditis_elegans	172	164	336
10103	mus_spicilegus	334	0	334
7237	drosophila_pseudoobscura	330	0	330
9483	callithrix_jacchus	111	198	309
8845	anser_cygnoides	299	0	299
10042	peromyscus_maniculatus_bairdii	298	0	298
8364	xenopus_tropicalis	298	0	298
7955	danio_rerio	287	9	296
6183	schistosoma_mansoni	288	0	288
197161	ischnura_elegans	274	0	274
198806	calidris_pugnax	239	0	239
43179	ictidomys_tridecemlineatus	227	0	227
1518534	anopheles_coluzzii	224	0	224
9793	equus_asinus	203	0	203
7460	apis_mellifera	189	0	189
13489	dicentrarchus_labrax	174	0	174
28377	anolis_carolinensis	164	1	165
13686	solenopsis_invicta	163	0	163
103695	pogona_vitticeps	162	0	162
13037	danaus_plexippus	158	0	158
30521	bos_grunniens	158	0	158
52904	scophthalmus_maximus	155	0	155
7159	aedes_aegypti_lvpagwg	149	0	149
45264	acropora_millepora	148	0	148
9646	ailuropoda_melanoleuca	146	0	146
42254	sorex_araneus	144	0	144
43151	anopheles_darlingi	144	0	144
7241	drosophila_subobscura	140	0	140
7244	drosophila_virilis	131	0	131
37653	octopus_bimaculoides	128	0	128
8790	dromaius_novaehollandiae	127	0	127
8839	anas_platyrhynchos_platyrhynchos	122	1	123
9597	pan_paniscus	121	2	123
9685	felis_catus	112	11	123
7260	drosophila_willistoni	115	0	115
8479	chrysemys_picta_bellii	111	0	111
9627	vulpes_vulpes	108	0	108
9749	delphinapterus_leucas	108	0	108
6549	mytilus_californianus	105	0	105
7957	carassius_auratus	103	0	103
343691	hermetia_illucens	102	0	102
8355	xenopus_laevis	102	0	102
8032	salmo_trutta	94	0	94
9157	parus_major	94	0	94
7240	drosophila_simulans	87	6	93
7229	drosophila_miranda	90	0	90
7238	drosophila_sechellia	76	12	88
37347	tupaia_belangeri	87	0	87
7217	drosophila_ananassae	85	0	85
7230	drosophila_mojavensis	85	0	85
7234	drosophila_persimilis	84	0	84
51338	castor_canadensis	83	0	83
9135	serinus_canaria	82	0	82
7245	drosophila_yakuba	81	0	81
10047	meriones_unguiculatus	80	0	80
7220	drosophila_erecta	77	0	77
181631	stachyris_ruficeps	75	0	75
12957	atta_cephalotes	72	0	72
7370	musca_domestica	72	0	72
104782	adineta_vaga	69	0	69
9974	manis_javanica	60	9	69
45351	nematostella_vectensis	68	0	68
56723	labrus_bergylta	68	0	68
8801	struthio_camelus_australis	68	0	68
13735	pelodiscus_sinensis	67	0	67
8996	numida_meleagris	67	0	67
59479	rhinolophus_ferrumequinum	66	0	66
114398	parasteatoda_tepidariorum	65	0	65
9668	mustela_putorius_furo	56	9	65
7994	astyanax_mexicanus_pachon	64	0	64
8502	crocodylus_porosus	60	0	60
88556	trialeurodes_vaporariorum	59	0	59
2705177	bombus_vancouverensis	58	0	58
8049	gadus_morhua	57	0	57
29159	magallana_gigas	56	0	56
7740	branchiostoma_lanceolatum	54	0	54
105785	cryptotermes_secundus	53	0	53
9838	camelus_dromedarius	52	0	52
8081	poecilia_reticulata	51	0	51
8175	sparus_aurata	51	0	51
10036	mesocricetus_auratus	49	1	50
1294199	eurytemora_carolleeae	49	0	49
9258	ornithorhynchus_anatinus	46	2	48
9315	notamacropus_eugenii	47	0	47
9593	gorilla_gorilla	44	2	46
9643	ursus_americanus	46	0	46
30023	drosophila_elegans	43	0	43
10093	mus_pahari	41	0	41
885580	fukomys_damarensis	41	0	41
9305	sarcophilus_harrisii	41	0	41
103775	drosophila_gunungcola	40	0	40
156563	cyanistes_caeruleus	40	0	40
28743	cyprinodon_variegatus	40	0	40
8154	astatotilapia_calliptera	38	0	38
9049	pavo_cristatus	37	0	37
143950	sipha_flava	36	0	36
6526	biomphalaria_glabrata	36	0	36
7282	drosophila_obscura	34	0	34
8019	oncorhynchus_kisutch	33	0	33
9531	cercocebus_atys	33	0	33
197043	homalodisca_vitripennis	32	0	32
32507	neolamprologus_brichardi	32	0	32
9901	bison_bison_bison	32	0	32
129105	drosophila_santomea	30	0	30
7167	anopheles_albimanus	30	0	30
99837	spermophilus_dauricus	30	0	30
10160	octodon_degus	29	0	29
7918	lepisosteus_oculatus	29	0	29
6669	daphnia_pulex	27	0	27
9054	phasianus_colchicus	27	0	27
30195	bombus_terrestris	26	0	26
9999	urocitellus_parryii	26	0	26
48699	poecilia_latipinna	25	0	25
13146	melopsittacus_undulatus	24	0	24
28584	drosophila_suzukii	24	0	24
6565	crassostrea_virginica	24	0	24
8010	esox_lucius	24	0	24
8128	oreochromis_niloticus	24	0	24
10029	cricetulus_griseus_crigri	23	0	23
10089	mus_caroli	23	0	23
9361	dasypus_novemcinctus	22	0	22
132113	bombus_impatiens	21	0	21
165561	microctonus_hyperodae	21	0	21
62062	hucho_hucho	21	0	21
7719	ciona_intestinalis	21	0	21
85661	bombus_huntii	21	0	21
2023354	schistocerca_serialis	20	0	20
274613	schistocerca_piceifrons	20	0	20
7009	schistocerca_americana	20	0	20
7011	schistocerca_nitens	20	0	20
7038	bemisia_tabaci_asiaii5	20	0	20
7070	tribolium_castaneum	20	0	20
7291	drosophila_albomicans	20	0	20
34839	chinchilla_lanigera	19	0	19
8855	cairina_moschata_domestica	19	0	19
99883	tetraodon_nigroviridis	19	0	19
42062	drosophila_nasuta	18	0	18
30538	vicugna_pacos	17	0	17
40157	lonchura_striata_domestica	17	0	17
41447	seriola_dumerili	17	0	17
7868	callorhinchus_milii	17	0	17
9089	chrysolophus_pictus	17	0	17
308060	apteryx_rowi	16	0	16
7226	drosophila_mauritiana	16	0	16
7653	lytechinus_pictus	16	0	16
31033	takifugu_rubripes	15	0	15
8824	apteryx_owenii	15	0	15
9694	panthera_tigris_altaica	10	5	15
7574	lingula_anatina	14	0	14
7897	latimeria_chalumnae	14	0	14
6706	homarus_americanus	13	0	13
400727	pomacea_canaliculata	12	0	12
9371	echinops_telfairi	12	0	12
123683	oryzias_javanicus	11	0	11
9601	pongo_abelii	11	0	11
113334	melitaea_cinxia	10	0	10
135651	caenorhabditis_brenneri	10	0	10
33528	gambusia_affinis	10	0	10
37623	ostrea_edulis	10	0	10
42514	pygocentrus_nattereri	10	0	10
7175	culex_pipiens	10	0	10
8673	pseudonaja_textilis	10	0	10
9704	zalophus_californianus	10	0	10
9755	physeter_catodon	10	0	10
183150	oryzias_sinensis	9	0	9
9785	loxodonta_africana	9	0	9
27679	saimiri_boliviensis_boliviensis	8	0	8
47314	drosophila_novamexicana	8	0	8
9689	panthera_leo	7	0	7
121225	pediculus_humanus	6	0	6
30464	nothoprocta_perdicaria	6	0	6
7998	ictalurus_punctatus	6	0	6
88925	lineus_longissimus	6	0	6
9365	erinaceus_europaeus	6	0	6
30033	drosophila_kikkawai	5	0	5
30611	otolemur_garnettii	5	0	5
37548	cavia_aperea	5	0	5
42026	drosophila_bipectinata	5	0	5
7515	ctenocephalides_felis	5	0	5
8962	aquila_chrysaetos_chrysaetos	5	0	5
125945	drosophila_biarmipes	4	0	4
29030	drosophila_takahashii	4	0	4
379532	propithecus_coquereli	4	0	4
64144	anabas_testudineus	4	0	4
7091	bombyx_mori	4	0	4
7668	strongylocentrotus_purpuratus	4	0	4
8630	laticauda_laticaudata	4	0	4
1041015	drosophila_rhopaloa	3	0	3
126957	strigamia_maritima	3	0	3
29029	drosophila_eugracilis	3	0	3
30025	drosophila_ficusphila	3	0	3
40217	junco_hyemalis	3	0	3
6728	procambarus_clarkii	3	0	3
8022	oncorhynchus_mykiss	3	0	3
8475	chelydra_serpentina	3	0	3
109280	hippocampus_comes	2	0	2
13249	rhodnius_prolixus	2	0	2
2489341	strigops_habroptila	2	0	2
8508	sphenodon_punctatus	2	0	2
8663	notechis_scutatus	2	0	2
9771	balaenoptera_musculus	2	0	2
108931	nilaparvata_lugens	1	0	1
158441	folsomia_candida	1	0	1
161013	thrips_palmi	1	0	1
205130	mastacembelus_armatus	1	0	1
211598	accipiter_nisus	1	0	1
222816	orussus_abietinus	1	0	1
328815	manacus_vitellinus	1	0	1
367368	pelusios_castaneus	1	0	1
44316	erythrura_gouldiae	1	0	1
46794	drosophila_tropicalis	1	0	1
48698	poecilia_formosa	1	0	1
48701	poecilia_mexicana	1	0	1
7243	drosophila_teissieri	1	0	1